Date,XLE,XLF,XLK,XLP,XLV,XLY
2019-06-07,22.305112838745117,23.755956649780273,35.78055191040039,48.659767150878906,80.70578002929688,54.33106994628906
2019-06-10,22.37064552307129,23.957426071166992,36.1468620300293,48.67636489868164,80.94522094726562,54.79094696044922
2019-06-11,22.414325714111328,23.966188430786133,36.1468620300293,48.834049224853516,80.81218719482422,55.002105712890625
2019-06-12,22.097604751586914,23.72968292236328,35.944915771484375,48.90874099731445,81.202392578125,54.98802947998047
2019-06-13,22.3560791015625,23.808509826660156,36.052940368652344,49.01663589477539,81.10484313964844,55.48075866699219
2019-06-14,22.210458755493164,23.861068725585938,35.7382926940918,49.04153823852539,80.91862487792969,55.60276412963867
2019-06-17,22.39612579345703,23.642078399658203,35.76645278930664,48.900447845458984,81.28221130371094,55.626224517822266
2019-06-18,22.70555877685547,23.957426071166992,36.41454315185547,48.63486862182617,81.9738998413086,56.048561096191406
2019-06-19,22.680076599121094,23.91362953186035,36.5460319519043,48.834049224853516,82.70989990234375,56.15180206298828
2019-06-20,23.18246841430664,24.01874542236328,37.08140182495117,49.265625,83.07350158691406,56.541282653808594
2019-06-21,23.349987030029297,23.965038299560547,36.906089782714844,49.105899810791016,83.47245025634766,56.27947235107422
2019-06-24,23.140583038330078,23.868194580078125,36.976783752441406,49.2313346862793,83.03608703613281,55.97812271118164
2019-06-25,22.95690155029297,23.788951873779297,36.298126220703125,49.20624542236328,82.69767761230469,55.44131851196289
2019-06-26,23.3095760345459,23.744930267333984,36.68931198120117,48.503780364990234,81.65570068359375,55.6202392578125
2019-06-27,23.13690948486328,23.95623016357422,36.7835578918457,48.595767974853516,82.22569274902344,55.968692779541016
2019-06-28,23.405088424682617,24.299596786499023,36.778846740722656,48.562320709228516,82.50174713134766,56.1287956237793
2019-07-01,23.427133560180664,24.59013557434082,37.36323547363281,48.85501480102539,82.91140747070312,56.62321853637695
2019-07-02,23.052417755126953,24.528507232666016,37.46220016479492,49.2815055847168,83.35669708251953,56.74564743041992
2019-07-03,23.144256591796875,24.722198486328125,37.74968338012695,49.89198684692383,84.06913757324219,57.24007034301758
2019-07-05,23.177318572998047,24.79262924194336,37.67898941040039,49.67455291748047,83.49027252197266,57.30599594116211
2019-07-08,23.210386276245117,24.669374465942383,37.391510009765625,49.74146270751953,82.86688995361328,57.376617431640625
2019-07-09,23.228755950927734,24.713397979736328,37.523475646972656,49.44877243041992,82.947021484375,57.437835693359375
2019-07-10,23.52631950378418,24.625350952148438,37.82038116455078,49.76655197143555,83.23200988769531,57.645023345947266
2019-07-11,23.574079513549805,24.766220092773438,37.96177291870117,49.89198684692383,83.24982452392578,57.76274871826172
2019-07-12,23.67327308654785,24.93349838256836,38.23982238769531,50.03416061401367,82.32363891601562,58.42667770385742
2019-07-15,23.460195541381836,24.79262924194336,38.3670654296875,50.151241302490234,82.50174713134766,58.61503601074219
2019-07-16,23.210386276245117,24.731008529663086,38.008888244628906,50.16795349121094,82.09210205078125,58.53970718383789
2019-07-17,22.945878982543945,24.519695281982422,37.9099235534668,50.10942459106445,82.1098861694336,57.97935104370117
2019-07-18,22.94955062866211,24.704593658447266,38.19268798828125,50.44392395019531,82.57299041748047,57.904014587402344
2019-07-19,23.056089401245117,24.598939895629883,38.02775192260742,50.12613296508789,81.71806335449219,57.5225944519043
2019-07-22,23.16262435913086,24.651763916015625,38.466033935546875,49.833457946777344,81.5488510131836,57.55555725097656
2019-07-23,23.225078582763672,24.90708351135254,38.67810821533203,50.19305419921875,82.05645751953125,57.94639205932617
2019-07-24,23.324262619018555,25.16240692138672,38.99858856201172,49.85853958129883,82.10099792480469,58.23832702636719
2019-07-25,23.05976104736328,24.986326217651367,38.83835220336914,49.92544937133789,81.70025634765625,57.91343688964844
2019-07-26,22.94220542907715,25.25925064086914,38.923179626464844,50.48574447631836,81.99414825439453,58.177127838134766
2019-07-29,22.850357055664062,25.065561294555664,38.89961624145508,50.57773971557617,82.3325424194336,57.89459991455078
2019-07-30,23.10752296447754,24.995126724243164,38.649837493896484,50.728267669677734,81.976318359375,57.503761291503906
2019-07-31,23.034046173095703,24.871868133544922,38.0654411315918,49.69965362548828,81.16590881347656,56.84453582763672
2019-08-01,22.512380599975586,24.30840492248535,37.87221908569336,49.52403259277344,81.27277374267578,56.07229995727539
2019-08-02,22.18910026550293,24.299596786499023,37.25483703613281,49.532386779785156,81.08574676513672,55.6108283996582
2019-08-05,21.527835845947266,23.489612579345703,35.69960403442383,48.244529724121094,79.17996215820312,54.11813735961914
2019-08-06,21.502113342285156,23.868194580078125,36.293418884277344,48.67939376831055,80.20410919189453,54.942176818847656
2019-08-07,21.340473175048828,23.55124282836914,36.51963806152344,49.24806594848633,80.23080444335938,55.16349411010742
2019-08-08,21.953981399536133,24.00025177001953,37.41507339477539,49.883636474609375,81.29947662353516,56.22767639160156
2019-08-09,21.711515426635742,23.9210205078125,36.990928649902344,49.60765838623047,81.39744567871094,55.70029830932617
2019-08-12,21.454364776611328,23.463193893432617,36.505496978759766,49.27314758300781,80.60485076904297,54.890384674072266
2019-08-13,21.65273666381836,23.753740310668945,37.41979217529297,49.833457946777344,81.65570068359375,55.79446792602539
2019-08-14,20.804119110107422,22.873315811157227,36.269866943359375,49.0473518371582,79.3847885131836,54.047508239746094
2019-08-15,20.675537109375,22.987773895263672,36.20388412475586,49.783267974853516,79.66087341308594,53.95803451538086
2019-08-16,20.947391510009766,23.39276123046875,36.8919563293457,50.3519401550293,80.64047241210938,54.57018280029297
2019-08-19,21.410276412963867,23.630475997924805,37.452781677246094,50.853694915771484,81.41524505615234,55.25767135620117
2019-08-20,21.23026466369629,23.31352424621582,37.26427459716797,50.301761627197266,80.72061157226562,55.27179718017578
2019-08-21,21.366193771362305,23.41917610168457,37.702552795410156,50.4355583190918,81.31729888916016,56.33597946166992
2019-08-22,21.27067756652832,23.577653884887695,37.61301040649414,50.70317459106445,80.91654968261719,56.35009765625
2019-08-23,20.557979583740234,22.97896385192871,36.36882781982422,49.85853958129883,79.0463638305664,54.85272216796875
2019-08-26,20.646142959594727,23.199073791503906,36.87309646606445,50.477378845214844,79.87459564208984,55.394222259521484
2019-08-27,20.517568588256836,23.05820655822754,36.81654739379883,50.33522033691406,79.402587890625,55.12110900878906
2019-08-28,20.811466217041016,23.269502639770508,36.84953689575195,50.820255279541016,79.98145294189453,55.80858612060547
2019-08-29,21.11638069152832,23.621679306030273,37.4904899597168,50.84534454345703,80.58702850341797,56.646759033203125
2019-08-30,21.11638069152832,23.700912475585938,37.481056213378906,50.77843475341797,80.68499755859375,56.3077392578125
2019-09-03,21.01351547241211,23.45439338684082,37.0239143371582,51.07113265991211,80.21300506591797,56.07699203491211
2019-09-04,21.307411193847656,23.683300018310547,37.655433654785156,51.53108215332031,80.26641845703125,56.632633209228516
2019-09-05,21.571922302246094,24.16753578186035,38.44247055053711,51.213294982910156,81.05903625488281,57.715660095214844
2019-09-06,21.68580436706543,24.158733367919922,38.40948486328125,51.380550384521484,81.28166961669922,57.8569221496582
2019-09-09,22.11929702758789,24.528507232666016,38.12199020385742,51.26346969604492,80.53359985351562,58.07822799682617
